caseid_new,marital_status,age,partner_age,education,partner_education,ethnicity,children,visits_relatives,gender,house,income,msa,rent,political,religion,work,lgbtq,success,age_diff_abs,gender_older,education_difference
1222671,married,67,64,bachelor's degree or higher,some college,"white, non-hispanic",0.0,4,male,a one-family house detached from any other house,"$60,000 to $74,999",non-metro,owned or being bought by you or someone in your household,democrat,catholic,not working - retired,0,1.0,3,0,1
1223621,married,62,58,high school,some college,hispanic,0.0,0,male,a one-family house detached from any other house,"$30,000 to $34,999",metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,not working - retired,0,1.0,4,0,1
1225585,never married,58,52,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$100,000 to $124,999",metro,rented for cash,democrat,none,working - self-employed,0,0.0,6,0,0
1226651,married,65,70,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - retired,0,1.0,5,0,0
1228415,never married,41,32,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,1,male,a one-family house attached to one or more houses,"$60,000 to $74,999",metro,rented for cash,democrat,catholic,working - as a paid employee,0,0.0,9,0,0
1233501,married,50,47,high school,high school,"white, non-hispanic",0.0,12,male,a one-family house detached from any other house,"$75,000 to $84,999",non-metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,3,0,0
1243681,married,68,71,high school,some college,"white, non-hispanic",0.0,3,female,a one-family house detached from any other house,"$40,000 to $49,999",non-metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,3,0,1
1249671,married,67,66,less than high school,high school,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,catholic,not working - retired,0,1.0,1,0,1
1252476,living with partner,47,38,bachelor's degree or higher,bachelor's degree or higher,hispanic,0.0,0,male,a building with 2 or more apartments,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,9,0,0
1253471,married,47,43,high school,some college,"black, non-hispanic",0.0,15,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,4,0,1
1257371,married,37,35,bachelor's degree or higher,some college,"white, non-hispanic",2.0,4,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,republican,other christian,working - as a paid employee,0,1.0,2,0,1
1260536,living with partner,53,47,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,2,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,1.0,6,1,0
1261401,married,40,36,high school,high school,"white, non-hispanic",1.0,4,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,none,working - as a paid employee,0,1.0,4,0,0
1262421,married,42,39,high school,some college,"2+ races, non-hispanic",1.0,0,female,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,catholic,not working - other,0,1.0,3,1,1
1263261,married,26,24,bachelor's degree or higher,some college,"white, non-hispanic",0.0,30,female,a one-family house attached to one or more houses,"$20,000 to $24,999",metro,rented for cash,democrat,other christian,working - as a paid employee,0,1.0,2,1,1
1266516,living with partner,51,52,bachelor's degree or higher,some college,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,jewish,working - as a paid employee,0,0.0,1,0,1
1267401,married,40,39,some college,high school,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,1,0,1
1270636,living with partner,63,62,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,6,female,a one-family house detached from any other house,"$175,000 or more",metro,owned or being bought by you or someone in your household,democrat,jewish,working - as a paid employee,0,1.0,1,1,0
1271456,living with partner,45,42,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,2,male,a building with 2 or more apartments,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,jewish,working - self-employed,0,1.0,3,0,0
1273236,living with partner,23,38,some college,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a building with 2 or more apartments,"$20,000 to $24,999",metro,rented for cash,democrat,buddhist,working - as a paid employee,0,1.0,15,0,1
1278541,married,54,52,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,0,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,republican,none,working - as a paid employee,0,1.0,2,0,0
1279296,living with partner,29,25,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,2,male,a building with 2 or more apartments,"$30,000 to $34,999",metro,rented for cash,democrat,none,not working - looking for work,0,0.0,4,0,0
1280305,never married,30,28,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,10,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,2,0,0
1283621,married,62,61,high school,high school,"white, non-hispanic",0.0,5,male,a one-family house detached from any other house,"$15,000 to $19,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,1,0,0
1285703,divorced,70,64,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - retired,0,0.0,6,0,0
1286415,never married,41,44,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,2,female,a one-family house detached from any other house,"$175,000 or more",metro,owned or being bought by you or someone in your household,republican,none,working - self-employed,0,1.0,3,0,0
1289291,married,29,31,some college,high school,"white, non-hispanic",2.0,5,female,a one-family house detached from any other house,"$30,000 to $34,999",non-metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,not working - other,0,1.0,2,0,1
1290401,married,40,34,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",2.0,0,male,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,"other non-christian, please specify:",working - as a paid employee,0,1.0,6,0,0
1299356,living with partner,35,36,high school,high school,hispanic,5.0,7,female,a one-family house detached from any other house,"$30,000 to $34,999",metro,owned or being bought by you or someone in your household,republican,catholic,not working - other,0,1.0,1,0,0
1301626,living with partner,62,56,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$125,000 to $149,999",metro,rented for cash,democrat,none,working - as a paid employee,0,1.0,6,0,0
1302415,never married,41,36,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,2,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,5,0,0
1305741,married,74,76,less than high school,high school,"white, non-hispanic",0.0,15,male,a one-family house detached from any other house,"$25,000 to $29,999",non-metro,owned or being bought by you or someone in your household,democrat,catholic,not working - retired,0,1.0,2,1,1
1306381,married,38,37,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",2.0,7,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,1,0,0
1310523,divorced,52,43,bachelor's degree or higher,some college,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,"other non-christian, please specify:",working - as a paid employee,0,1.0,9,1,1
1316391,married,39,38,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,0,male,a building with 2 or more apartments,"$35,000 to $39,999",metro,rented for cash,democrat,"other non-christian, please specify:",not working - other,0,1.0,1,0,0
1323596,living with partner,59,43,bachelor's degree or higher,some college,hispanic,1.0,1,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,republican,catholic,not working - retired,0,1.0,16,0,1
1327693,divorced,69,44,some college,high school,"white, non-hispanic",0.0,10,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - retired,0,1.0,25,0,1
1328713,divorced,71,44,less than high school,high school,"white, non-hispanic",3.0,1,female,a one-family house detached from any other house,"$175,000 or more",metro,owned or being bought by you or someone in your household,democrat,jewish,not working - retired,0,1.0,27,1,1
1329235,never married,23,28,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,5,female,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,republican,jewish,working - as a paid employee,0,1.0,5,0,0
1334261,married,26,28,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,7,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,2,1,0
1335363,divorced,36,40,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,0,male,a one-family house attached to one or more houses,"$40,000 to $49,999",metro,rented for cash,republican,none,working - as a paid employee,0,1.0,4,1,0
1340556,living with partner,55,66,bachelor's degree or higher,less than high school,"white, non-hispanic",0.0,2,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,catholic,not working - retired,0,1.0,11,1,3
1341511,married,51,55,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,5,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,4,1,0
1348345,never married,34,37,bachelor's degree or higher,bachelor's degree or higher,"other, non-hispanic",0.0,0,female,a building with 2 or more apartments,"$12,500 to $14,999",metro,rented for cash,democrat,hindu,working - as a paid employee,0,0.0,3,0,0
1354291,married,29,41,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,12,0,0
1361771,married,77,76,bachelor's degree or higher,high school,"2+ races, non-hispanic",0.0,10,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,catholic,not working - retired,0,1.0,1,1,2
1364533,divorced,53,52,high school,bachelor's degree or higher,"white, non-hispanic",0.0,25,female,a one-family house attached to one or more houses,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,0.0,1,1,2
1368545,never married,54,48,some college,bachelor's degree or higher,"other, non-hispanic",0.0,0,female,a building with 2 or more apartments,"$7,500 to $9,999",metro,rented for cash,democrat,"other non-christian, please specify:",not working - disabled,0,0.0,6,1,1
1369721,married,72,65,bachelor's degree or higher,some college,"white, non-hispanic",0.0,0,male,a one-family house attached to one or more houses,"$85,000 to $99,999",non-metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,7,0,1
1370453,divorced,45,42,high school,high school,"white, non-hispanic",1.0,15,female,a one-family house detached from any other house,"$15,000 to $19,999",non-metro,rented for cash,democrat,baptist-any denomination,not working - looking for work,0,0.0,3,1,0
1371681,married,68,69,high school,high school,"white, non-hispanic",0.0,1,female,a one-family house detached from any other house,"$30,000 to $34,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,1,0,0
1372391,married,39,38,bachelor's degree or higher,bachelor's degree or higher,hispanic,3.0,4,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,1,0,0
1373663,divorced,66,46,less than high school,high school,"white, non-hispanic",0.0,2,male,a building with 2 or more apartments,"$5,000 to $7,499",metro,rented for cash,democrat,none,not working - disabled,0,0.0,20,0,1
1375681,married,68,64,less than high school,some college,"white, non-hispanic",0.0,1,male,a one-family house attached to one or more houses,"$25,000 to $29,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,4,0,2
1377811,married,81,82,high school,high school,"2+ races, non-hispanic",0.0,0,male,a mobile home,"$35,000 to $39,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,1,1,0
1379291,married,29,32,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,none,working - as a paid employee,0,1.0,3,1,0
1380606,living with partner,60,48,some college,some college,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,12,1,0
1382546,living with partner,54,58,high school,some college,"white, non-hispanic",0.0,3,female,a one-family house detached from any other house,"$35,000 to $39,999",metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,working - as a paid employee,0,0.0,4,0,1
1383671,married,67,63,some college,some college,"white, non-hispanic",0.0,5,male,a one-family house detached from any other house,"$15,000 to $19,999",non-metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,not working - retired,0,1.0,4,0,0
1384431,married,43,43,high school,bachelor's degree or higher,"white, non-hispanic",2.0,2,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,working - as a paid employee,0,1.0,0,0,2
1392612,widowed,61,53,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,3,female,a one-family house detached from any other house,"$30,000 to $34,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,8,1,0
1393286,living with partner,28,26,high school,some college,"white, non-hispanic",0.0,3,male,a one-family house detached from any other house,"$35,000 to $39,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - disabled,0,0.0,2,0,1
1394385,never married,38,30,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,5,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,8,0,0
1396626,living with partner,62,34,some college,high school,"black, non-hispanic",0.0,3,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,baptist-any denomination,not working - retired,0,0.0,28,0,1
1403571,married,57,53,some college,some college,hispanic,0.0,1,male,a one-family house detached from any other house,"$175,000 or more",metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,4,0,0
1408531,married,53,54,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,0,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,1,0,0
1409551,married,55,54,some college,high school,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,1,0,1
1410441,married,44,45,some college,some college,"white, non-hispanic",0.0,5,female,a building with 2 or more apartments,"$25,000 to $29,999",metro,rented for cash,democrat,other christian,working - as a paid employee,0,0.0,1,0,0
1411661,married,66,67,some college,some college,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,1,1,0
1412495,never married,49,39,some college,high school,hispanic,0.0,9,male,a one-family house attached to one or more houses,"$7,500 to $9,999",metro,owned or being bought by you or someone in your household,democrat,pentecostal,not working - disabled,0,0.0,10,0,1
1421401,married,40,47,high school,bachelor's degree or higher,"white, non-hispanic",2.0,2,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,1.0,7,1,2
1422621,married,62,60,some college,some college,"2+ races, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,2,0,0
1425271,married,27,27,bachelor's degree or higher,some college,"black, non-hispanic",0.0,4,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,0,0,1
1426355,never married,35,30,some college,high school,hispanic,1.0,10,male,a building with 2 or more apartments,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,pentecostal,working - as a paid employee,0,1.0,5,0,1
1430681,married,68,64,less than high school,high school,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$35,000 to $39,999",non-metro,rented for cash,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,4,1,1
1434421,married,42,44,some college,bachelor's degree or higher,"black, non-hispanic",3.0,20,male,a mobile home,"$30,000 to $34,999",metro,owned or being bought by you or someone in your household,democrat,baptist-any denomination,not working - disabled,0,1.0,2,1,1
1435285,never married,28,26,some college,bachelor's degree or higher,hispanic,0.0,8,female,a one-family house attached to one or more houses,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,other christian,not working - looking for work,0,0.0,2,1,1
1438781,married,78,77,high school,high school,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,eastern orthodox,not working - retired,0,1.0,1,0,0
1439225,never married,22,20,some college,some college,"white, non-hispanic",0.0,6,female,a one-family house detached from any other house,"$60,000 to $74,999",non-metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,0.0,2,1,0
1440573,divorced,57,51,some college,some college,hispanic,0.0,1,male,a one-family house attached to one or more houses,"$35,000 to $39,999",metro,rented for cash,democrat,catholic,working - as a paid employee,0,1.0,6,0,0
1445491,married,49,45,bachelor's degree or higher,high school,"white, non-hispanic",2.0,2,female,a one-family house detached from any other house,"$75,000 to $84,999",non-metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,4,1,2
1446561,married,56,55,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,other christian,working - as a paid employee,0,1.0,1,1,0
1451501,married,50,50,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",2.0,0,female,a building with 2 or more apartments,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,none,working - self-employed,0,1.0,0,0,0
1454411,married,41,36,high school,high school,"white, non-hispanic",3.0,1,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,republican,none,working - as a paid employee,0,1.0,5,0,0
1456556,living with partner,55,61,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$40,000 to $49,999",metro,occupied without payment of cash rent,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,6,1,0
1463856,living with partner,85,78,some college,high school,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,0.0,7,0,1
1464431,married,43,40,bachelor's degree or higher,bachelor's degree or higher,hispanic,3.0,0,male,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,3,0,0
1466245,never married,24,24,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,12,female,a one-family house detached from any other house,"$100,000 to $124,999",non-metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,working - as a paid employee,0,1.0,0,0,0
1468606,living with partner,60,70,some college,some college,"white, non-hispanic",0.0,0,female,a one-family house attached to one or more houses,"$50,000 to $59,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,10,0,0
1469225,never married,22,23,some college,bachelor's degree or higher,"white, non-hispanic",1.0,10,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,1,0,1
1472491,married,49,43,some college,some college,"white, non-hispanic",0.0,8,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - self-employed,0,1.0,6,0,0
1473421,married,42,36,high school,some college,"white, non-hispanic",2.0,15,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,6,0,1
1474566,living with partner,56,52,bachelor's degree or higher,some college,hispanic,0.0,2,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,democrat,none,working - self-employed,0,1.0,4,0,1
1477205,never married,20,20,some college,some college,"white, non-hispanic",1.0,3,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,0,0,0
1478566,living with partner,56,57,some college,bachelor's degree or higher,"white, non-hispanic",0.0,2,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,democrat,catholic,not working - retired,0,1.0,1,1,1
1479275,never married,27,22,some college,some college,"white, non-hispanic",0.0,6,male,a one-family house detached from any other house,"$40,000 to $49,999",non-metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,0.0,5,0,0
1480621,married,62,64,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,4,female,a one-family house detached from any other house,"$85,000 to $99,999",non-metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,2,0,0
1482336,living with partner,33,33,bachelor's degree or higher,some college,"white, non-hispanic",0.0,2,male,a one-family house attached to one or more houses,"$150,000 to $174,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,0,0,1
1484521,married,52,55,high school,some college,"white, non-hispanic",0.0,1,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,baptist-any denomination,not working - other,0,1.0,3,0,1
1490563,divorced,56,64,bachelor's degree or higher,bachelor's degree or higher,hispanic,0.0,0,male,a building with 2 or more apartments,"$60,000 to $74,999",metro,rented for cash,democrat,"other non-christian, please specify:",working - as a paid employee,0,0.0,8,1,0
1492642,widowed,64,63,high school,less than high school,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$30,000 to $34,999",metro,owned or being bought by you or someone in your household,republican,other christian,working - as a paid employee,0,1.0,1,1,1
1493501,married,50,48,some college,some college,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,2,0,0
1494381,married,38,39,some college,some college,"black, non-hispanic",0.0,5,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,baptist-any denomination,working - as a paid employee,0,1.0,1,1,0
1495643,divorced,64,44,bachelor's degree or higher,high school,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$10,000 to $12,499",metro,rented for cash,democrat,other christian,not working - disabled,0,0.0,20,1,2
1498471,married,47,49,high school,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,republican,jewish,working - as a paid employee,0,1.0,2,1,2
1511571,married,57,61,high school,high school,"white, non-hispanic",0.0,0,female,a mobile home,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,4,0,0
1512761,married,76,81,high school,high school,"white, non-hispanic",0.0,10,female,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,catholic,not working - retired,0,1.0,5,0,0
1514561,married,56,54,some college,high school,"white, non-hispanic",2.0,2,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,2,0,1
1515601,married,60,60,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$75,000 to $84,999",non-metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,0,0,0
1516441,married,44,40,less than high school,high school,hispanic,0.0,0,female,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,other,catholic,working - as a paid employee,0,1.0,4,1,1
1518501,married,50,64,bachelor's degree or higher,some college,"white, non-hispanic",0.0,1,female,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,democrat,jewish,working - as a paid employee,0,1.0,14,0,1
1519266,living with partner,26,27,some college,some college,"white, non-hispanic",0.0,7,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,"other non-christian, please specify:",working - as a paid employee,0,0.0,1,1,0
1520271,married,27,28,some college,less than high school,"white, non-hispanic",4.0,0,female,a mobile home,"$7,500 to $9,999",metro,rented for cash,republican,pentecostal,not working - looking for work,0,1.0,1,0,2
1521461,married,46,49,bachelor's degree or higher,high school,"white, non-hispanic",1.0,0,female,a one-family house detached from any other house,"$75,000 to $84,999",non-metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,3,0,2
1524351,married,35,32,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",3.0,10,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,mormon,working - as a paid employee,0,1.0,3,0,0
1525665,never married,66,64,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,2,0,0
1529205,never married,20,19,high school,some college,"white, non-hispanic",2.0,2,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,republican,pentecostal,working - as a paid employee,0,0.0,1,0,1
1530311,married,31,29,some college,some college,"white, non-hispanic",2.0,0,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,other christian,working - as a paid employee,0,1.0,2,0,0
